"Id","HHDeviceID","UserID","ShiftID","Latitude","Longitude","Speed","EntryTime","Accuracy","InsertedDateTime"
"18381298","498","1572","17245","24.8132016","46.6344905","14.985407829285","2016-11-15 11:24:00.000","16","2016-11-15 11:24:24.807"
"18381297","498","1572","17245","24.812839","46.6346801","13.619874000549","2016-11-15 11:23:57.000","16","2016-11-15 11:24:24.807"
"18381296","498","1572","17245","24.8124962","46.6348629","12.613724708557","2016-11-15 11:23:54.000","16","2016-11-15 11:24:24.807"
"18381295","498","1572","17245","24.8122685","46.6349821","13.32758808136","2016-11-15 11:23:52.000","24","2016-11-15 11:24:24.807"
"18381294","498","1572","17245","24.8120545","46.6350925","13.005926132202","2016-11-15 11:23:50.000","24","2016-11-15 11:24:24.807"
"18381281","498","1572","17245","24.811846","46.6351862","12.765596389771","2016-11-15 11:23:48.000","24","2016-11-15 11:23:50.587"
"18381280","498","1572","17245","24.8115351","46.6353055","12.684565544128","2016-11-15 11:23:45.000","24","2016-11-15 11:23:50.587"
"18381279","498","1572","17245","24.8113277","46.6353896","12.477470397949","2016-11-15 11:23:43.000","24","2016-11-15 11:23:50.587"
"18381278","498","1572","17245","24.8111234","46.6354517","12.32822227478","2016-11-15 11:23:41.000","24","2016-11-15 11:23:50.587"
"18381277","498","1572","17245","24.8108254","46.6355588","12.538122177124","2016-11-15 11:23:38.000","24","2016-11-15 11:23:50.587"
"18381276","498","1572","17245","24.8105177","46.6356924","12.627341270447","2016-11-15 11:23:35.000","24","2016-11-15 11:23:50.587"
"18381275","498","1572","17245","24.8103007","46.6357917","13.473860740662","2016-11-15 11:23:33.000","24","2016-11-15 11:23:50.587"
"18381274","498","1572","17245","24.8099288","46.6359568","14.037625312805","2016-11-15 11:23:30.000","24","2016-11-15 11:23:50.587"
"18381261","498","1572","17245","24.8095344","46.6361098","13.616339683533","2016-11-15 11:23:27.000","16","2016-11-15 11:23:29.623"
"18381260","498","1572","17245","24.8091599","46.6362491","13.531853675842","2016-11-15 11:23:24.000","24","2016-11-15 11:23:29.623"
"18381259","498","1572","17245","24.8087963","46.6363951","12.631394386292","2016-11-15 11:23:21.000","24","2016-11-15 11:23:29.623"
"18381258","498","1572","17245","24.808575","46.636511","12.028205871582","2016-11-15 11:23:19.000","24","2016-11-15 11:23:29.623"
"18381257","498","1572","17245","24.808369","46.6366143","11.610226631165","2016-11-15 11:23:17.000","24","2016-11-15 11:23:29.623"
"18381256","498","1572","17245","24.8080803","46.636758","10.09482383728","2016-11-15 11:23:14.000","24","2016-11-15 11:23:29.623"
"18381255","498","1572","17245","24.807816","46.6369002","8.4880456924438","2016-11-15 11:23:11.000","16","2016-11-15 11:23:29.623"
"18381254","498","1572","17245","24.8076671","46.6370326","7.2749128341675","2016-11-15 11:23:09.000","24","2016-11-15 11:23:29.623"
"18381253","498","1572","17245","24.8075436","46.6372099","0","2016-11-15 11:23:07.000","24","2016-11-15 11:23:29.623"
"18381252","498","1572","17245","24.807551","46.6372717","7.4709777832031","2016-11-15 11:23:04.000","24","2016-11-15 11:23:29.623"
"18381251","498","1572","17245","24.807594","46.6374738","8.6747970581055","2016-11-15 11:23:01.000","16","2016-11-15 11:23:29.623"
"18381250","498","1572","17245","24.8076645","46.6376619","9.5511407852173","2016-11-15 11:22:59.000","16","2016-11-15 11:23:29.623"
"18381249","498","1572","17245","24.8077945","46.6379425","11.032032012939","2016-11-15 11:22:56.000","12","2016-11-15 11:23:29.623"
"18381248","498","1572","17245","24.8078836","46.6381289","10.92903137207","2016-11-15 11:22:54.000","12","2016-11-15 11:23:29.623"
"18381247","498","1572","17245","24.8079918","46.6384481","10.974720954895","2016-11-15 11:22:51.000","16","2016-11-15 11:23:29.623"
"18381235","498","1572","17245","24.8080681","46.6386647","10.408796310425","2016-11-15 11:22:49.000","24","2016-11-15 11:22:50.600"
"18381234","498","1572","17245","24.8081824","46.6389672","9.3833723068237","2016-11-15 11:22:46.000","24","2016-11-15 11:22:50.600"
"18381233","498","1572","17245","24.8082797","46.6391807","6.6077799797058","2016-11-15 11:22:43.000","16","2016-11-15 11:22:50.600"
"18381232","498","1572","17245","24.8083385","46.6393048","4.7880730628967","2016-11-15 11:22:40.000","16","2016-11-15 11:22:50.600"
"18381231","498","1572","17245","24.8084123","46.6394717","8.7963151931763","2016-11-15 11:22:37.000","16","2016-11-15 11:22:50.600"
"18381230","498","1572","17245","24.8084886","46.6396451","10.908650398254","2016-11-15 11:22:35.000","16","2016-11-15 11:22:50.600"
"18381229","498","1572","17245","24.8086101","46.6399709","12.507740974426","2016-11-15 11:22:32.000","16","2016-11-15 11:22:50.600"
"18381228","498","1572","17245","24.8086947","46.6402002","13.143359184265","2016-11-15 11:22:30.000","16","2016-11-15 11:22:50.600"
"18381227","498","1572","17245","24.8088399","46.6405572","12.948631286621","2016-11-15 11:22:27.000","16","2016-11-15 11:22:50.600"
"18381214","498","1572","17245","24.808986","46.6409145","13.58752822876","2016-11-15 11:22:24.000","16","2016-11-15 11:22:28.193"
"18381213","498","1572","17245","24.8091442","46.6412965","13.50864982605","2016-11-15 11:22:21.000","24","2016-11-15 11:22:28.193"
"18381212","498","1572","17245","24.8093199","46.6416734","13.794435501099","2016-11-15 11:22:18.000","16","2016-11-15 11:22:28.193"
"18381211","498","1572","17245","24.8094998","46.6420636","13.778761863708","2016-11-15 11:22:15.000","24","2016-11-15 11:22:28.193"
"18381210","498","1572","17245","24.80962","46.6423092","13.42628288269","2016-11-15 11:22:13.000","24","2016-11-15 11:22:28.193"
"18381209","498","1572","17245","24.8097927","46.642674","13.050349235535","2016-11-15 11:22:10.000","24","2016-11-15 11:22:28.193"
"18381208","498","1572","17245","24.8098983","46.6429044","12.321637153626","2016-11-15 11:22:08.000","24","2016-11-15 11:22:28.193"
"18381207","498","1572","17245","24.810012","46.6431233","11.91593837738","2016-11-15 11:22:06.000","24","2016-11-15 11:22:28.193"
"18381206","498","1572","17245","24.8101302","46.6433218","11.924402236938","2016-11-15 11:22:04.000","24","2016-11-15 11:22:28.193"
"18381205","498","1572","17245","24.8103436","46.6436425","11.356017112732","2016-11-15 11:22:01.000","24","2016-11-15 11:22:28.193"
"18381204","498","1572","17245","24.8104952","46.6438195","11.182569503784","2016-11-15 11:21:59.000","24","2016-11-15 11:22:28.193"
"18381203","498","1572","17245","24.8107018","46.6440891","10.437589645386","2016-11-15 11:21:56.000","24","2016-11-15 11:22:28.193"
"18381193","498","1572","17245","24.8108353","46.6444891","11.05784702301","2016-11-15 11:21:53.000","24","2016-11-15 11:21:54.650"
"18381192","498","1572","17245","24.8109433","46.6448739","10.186627388001","2016-11-15 11:21:51.000","32","2016-11-15 11:21:54.650"
"18381191","498","1572","17245","24.8110485","46.6452769","8.856614112854","2016-11-15 11:21:48.000","32","2016-11-15 11:21:54.650"
"18381190","498","1572","17245","24.8111064","46.6454916","5.6428470611572","2016-11-15 11:21:46.000","24","2016-11-15 11:21:54.650"
"18381189","498","1572","17245","24.8111483","46.6457179","4.6366229057312","2016-11-15 11:21:43.000","24","2016-11-15 11:21:54.650"
"18381188","498","1572","17245","24.8111802","46.6459266","3.9482083320618","2016-11-15 11:21:40.000","16","2016-11-15 11:21:54.650"
"18381187","498","1572","17245","24.8111972","46.6460289","3.0025632381439","2016-11-15 11:21:38.000","24","2016-11-15 11:21:54.650"
"18381186","498","1572","17245","24.8112133","46.6461148","2.7678804397583","2016-11-15 11:21:36.000","16","2016-11-15 11:21:54.650"
"18381185","498","1572","17245","24.8112334","46.6461914","2.5632297992706","2016-11-15 11:21:34.000","16","2016-11-15 11:21:54.650"
"18381184","498","1572","17245","24.8112922","46.6462866","4.8823614120483","2016-11-15 11:21:31.000","16","2016-11-15 11:21:54.650"
"18381183","498","1572","17245","24.8113705","46.646316","2.1013944149017","2016-11-15 11:21:29.000","16","2016-11-15 11:21:54.650"
"18381182","498","1572","17245","24.8114586","46.6462919","1.9362127780914","2016-11-15 11:21:26.000","16","2016-11-15 11:21:54.650"
"18381172","498","1572","17245","24.811515","46.6462383","0","2016-11-15 11:20:24.000","16","2016-11-15 11:20:54.703"
"18381171","498","1572","17245","24.8115708","46.6462159","5.1745195388794","2016-11-15 11:20:21.000","12","2016-11-15 11:20:24.007"
"18381170","498","1572","17245","24.8116529","46.6461895","2.1081357002258","2016-11-15 11:20:18.000","12","2016-11-15 11:20:24.007"
"18381169","498","1572","17245","24.8117102","46.6461874","2.4873676300049","2016-11-15 11:20:15.000","12","2016-11-15 11:20:24.007"
"18381168","498","1572","17245","24.8117535","46.6462316","2.7667994499206","2016-11-15 11:20:12.000","8","2016-11-15 11:20:24.007"
"18381167","498","1572","17245","24.8117915","46.6463269","3.6141993999481","2016-11-15 11:20:09.000","6","2016-11-15 11:20:24.007"
"18381166","498","1572","17245","24.8118153","46.6463811","4.1996855735779","2016-11-15 11:20:07.000","8","2016-11-15 11:20:24.007"
"18381165","498","1572","17245","24.8118525","46.6464541","4.7494788169861","2016-11-15 11:20:05.000","6","2016-11-15 11:20:24.007"
"18381164","498","1572","17245","24.811888","46.6465347","5.1843476295471","2016-11-15 11:20:03.000","6","2016-11-15 11:20:24.007"
"18381163","498","1572","17245","24.8119485","46.6466834","5.9186415672302","2016-11-15 11:20:00.000","8","2016-11-15 11:20:24.007"
"18381162","498","1572","17245","24.8119937","46.6467784","6.0163741111755","2016-11-15 11:19:58.000","8","2016-11-15 11:20:24.007"
"18381161","498","1572","17245","24.8120342","46.6468594","3.1460840702057","2016-11-15 11:19:56.000","12","2016-11-15 11:20:24.007"
"18381148","498","1572","17245","24.812117","46.6469294","2.7998976707459","2016-11-15 11:19:53.000","12","2016-11-15 11:19:54.740"
"18381147","498","1572","17245","24.8121907","46.6469144","4.4574580192566","2016-11-15 11:19:51.000","12","2016-11-15 11:19:54.740"
"18381146","498","1572","17245","24.8123252","46.6468421","5.6004023551941","2016-11-15 11:19:48.000","12","2016-11-15 11:19:54.740"
"18381145","498","1572","17245","24.8124299","46.6467776","8.2273006439209","2016-11-15 11:19:46.000","12","2016-11-15 11:19:54.740"
"18381144","498","1572","17245","24.8125806","46.646707","11.45014667511","2016-11-15 11:19:44.000","12","2016-11-15 11:19:54.740"
"18381143","498","1572","17245","24.8129","46.6465404","15.13774394989","2016-11-15 11:19:41.000","12","2016-11-15 11:19:54.740"
"18381142","498","1572","17245","24.8131625","46.646411","17.328680038452","2016-11-15 11:19:39.000","16","2016-11-15 11:19:54.740"
"18381141","498","1572","17245","24.8134562","46.6462638","18.642107009888","2016-11-15 11:19:37.000","12","2016-11-15 11:19:54.740"
"18381140","498","1572","17245","24.8137723","46.6461137","20.135601043701","2016-11-15 11:19:35.000","12","2016-11-15 11:19:54.740"
"18381139","498","1572","17245","24.8142926","46.6458564","20.388345718384","2016-11-15 11:19:32.000","12","2016-11-15 11:19:54.740"
"18381138","498","1572","17245","24.8147853","46.6456183","20.217771530151","2016-11-15 11:19:29.000","12","2016-11-15 11:19:54.740"
"18381137","498","1572","17245","24.8152711","46.6453863","20.248432159424","2016-11-15 11:19:26.000","12","2016-11-15 11:19:54.740"
"18381136","498","1572","17245","24.8155994","46.6452138","19.933322906494","2016-11-15 11:19:24.000","12","2016-11-15 11:19:54.740"
"18381124","498","1572","17245","24.8160782","46.6449591","20.057580947876","2016-11-15 11:19:21.000","12","2016-11-15 11:19:25.473"
"18381123","498","1572","17245","24.8164038","46.6447937","19.618812561035","2016-11-15 11:19:19.000","12","2016-11-15 11:19:25.473"
"18381122","498","1572","17245","24.8167212","46.6446297","18.995122909546","2016-11-15 11:19:17.000","12","2016-11-15 11:19:25.473"
"18381121","498","1572","17245","24.8171832","46.6443913","18.179483413696","2016-11-15 11:19:14.000","12","2016-11-15 11:19:25.473"
"18381120","498","1572","17245","24.8176219","46.644168","16.855726242065","2016-11-15 11:19:11.000","12","2016-11-15 11:19:25.473"
"18381119","498","1572","17245","24.8179033","46.6440228","15.749203681946","2016-11-15 11:19:09.000","12","2016-11-15 11:19:25.473"
"18381118","498","1572","17245","24.8182595","46.6438489","13.952800750732","2016-11-15 11:19:06.000","16","2016-11-15 11:19:25.473"
"18381117","498","1572","17245","24.8185871","46.6436599","10.52179145813","2016-11-15 11:19:03.000","16","2016-11-15 11:19:25.473"
"18381116","498","1572","17245","24.8187048","46.6435261","8.0422430038452","2016-11-15 11:19:01.000","12","2016-11-15 11:19:25.473"
"18381115","498","1572","17245","24.8187551","46.6433081","6.2102088928223","2016-11-15 11:18:58.000","12","2016-11-15 11:19:25.473"
"18381114","498","1572","17245","24.8187435","46.6431778","6.9493923187256","2016-11-15 11:18:56.000","12","2016-11-15 11:19:25.473"
"18381113","498","1572","17245","24.8186978","46.6430399","8.9394435882568","2016-11-15 11:18:54.000","12","2016-11-15 11:19:25.473"
"18381112","498","1572","17245","24.8185931","46.6427978","10.141780853272","2016-11-15 11:18:51.000","12","2016-11-15 11:19:25.473"
"18381098","498","1572","17245","24.8185115","46.6425958","12.455033302307","2016-11-15 11:18:49.000","12","2016-11-15 11:18:50.770"
"18381097","498","1572","17245","24.8183528","46.642238","13.861159324646","2016-11-15 11:18:46.000","8","2016-11-15 11:18:50.770"
"18381096","498","1572","17245","24.8182378","46.641984","14.838018417358","2016-11-15 11:18:44.000","8","2016-11-15 11:18:50.770"
"18381095","498","1572","17245","24.8181181","46.6417151","15.11722278595","2016-11-15 11:18:42.000","16","2016-11-15 11:18:50.770"
"18381094","498","1572","17245","24.8180055","46.6414521","14.765710830688","2016-11-15 11:18:40.000","12","2016-11-15 11:18:50.770"
"18381093","498","1572","17245","24.8178283","46.641057","14.735059738159","2016-11-15 11:18:37.000","8","2016-11-15 11:18:50.770"
"18381092","498","1572","17245","24.8176596","46.6406663","14.442889213562","2016-11-15 11:18:34.000","8","2016-11-15 11:18:50.770"
"18381091","498","1572","17245","24.8175527","46.6404089","14.175255775452","2016-11-15 11:18:32.000","8","2016-11-15 11:18:50.770"
"18381090","498","1572","17245","24.8173974","46.6400287","14.04034614563","2016-11-15 11:18:29.000","6","2016-11-15 11:18:50.770"
"18381089","498","1572","17245","24.8172421","46.6396541","14.058783531189","2016-11-15 11:18:26.000","8","2016-11-15 11:18:50.770"
"18381088","498","1572","17245","24.8170796","46.6392565","15.785119056702","2016-11-15 11:18:23.000","8","2016-11-15 11:18:50.770"
"18381087","498","1572","17245","24.8169563","46.6389779","16.165718078613","2016-11-15 11:18:21.000","8","2016-11-15 11:18:50.770"
"18381075","498","1572","17245","24.816769","46.6385522","15.969467163086","2016-11-15 11:18:18.000","6","2016-11-15 11:18:20.907"
"18381074","498","1572","17245","24.8165819","46.63813","15.566672325134","2016-11-15 11:18:15.000","8","2016-11-15 11:18:20.907"
"18381073","498","1572","17245","24.8164032","46.6377271","15.025378227234","2016-11-15 11:18:12.000","8","2016-11-15 11:18:20.907"
"18381072","498","1572","17245","24.8162927","46.6374591","14.709558486938","2016-11-15 11:18:10.000","8","2016-11-15 11:18:20.907"
"18381071","498","1572","17245","24.8161845","46.6371997","14.573746681213","2016-11-15 11:18:08.000","8","2016-11-15 11:18:20.907"
"18381070","498","1572","17245","24.8160281","46.6368103","13.959545135498","2016-11-15 11:18:05.000","8","2016-11-15 11:18:20.907"
"18381069","498","1572","17245","24.8158867","46.6364626","11.747936248779","2016-11-15 11:18:02.000","12","2016-11-15 11:18:20.907"
"18381068","498","1572","17245","24.8157737","46.6361734","9.0464000701904","2016-11-15 11:17:59.000","8","2016-11-15 11:18:20.907"
